Comment,Emotion,Processed_Comment
i am appalled that i feel violent toward another human being,anger,appalled feel violent toward another human
i am very glad they came and glad i risked feeling foolish,sadness,glad come glad risk feel foolish
i as many others are feeling helpless that we as a world can not hold the grieving parents hands especially the mothers and grandmothers of nigeria as they desperately wait for assistance to have their girls return back home safely and let their laughter ring out through their home once again,fear,many other feel helpless world not_hold grieve parent hand especially mother grandmother nigeria desperately wait assistance girl return back home safely let laughter ring home
i havent had dinner but im also feeling pretty lethargic so im not sure thats going to happen at all at this point,sadness,not_had dinner also feel pretty lethargic not_sure go happen point
i usually feel energized i just felt exhausted,sadness,usually feel energized feel exhausted
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger,not_gotten yet still resent pay dollar procedure not_fully successful since wear glass year feel torture enough
im feeling less annoyed with him,anger,feel less annoyed
i feel gracious for the opportunity to make a difference,joy,feel gracious opportunity make difference
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear,admit feel slightly alarmed book also base olden sarawak seem parallel plot line jugra chronicle
i hate the feeling that i can t do anything useful,joy,hate feeling anything useful
i am feeling a bit miserable or passionate about something its all just in the moment,sadness,feel bit miserable passionate something moment
i was feeling restless no one was home and it was sunny outside,fear,feel restless one home sunny outside
i feel paranoid because nobody is saying anything,fear,feel paranoid nobody say anything
i am feeling so blessed so happy,joy,feel blessed happy
i feel stupid the pointlessness of the cu,sadness,feel stupid pointlessness
i feel selfish for that choice i made i just beg that you dont let your love for me go away,anger,feel selfish choice make beg not_let love away
i feel however that this administration is so dangerous i have no moral choice but to speak,anger,feel however administration dangerous moral choice speak
i feel rather disheartened suddenly,sadness,feel rather dishearten suddenly
ive stamped out old relationships feeling like the distance and time apart would cause people to forget or somehow give enough reason for them to stop caring about me,love,stamp old relationship feel like distance time apart would cause people forget somehow give enough reason stop care
i feel like a failure like i m so fucked up that i have to be medically managed,anger,feel like failure like fuck medically manage
i feel petty jealousy or anger yesterday in the face of my wifes happiness and our decision to chaperone a trip with my sons school,anger,feel petty jealousy anger yesterday face wife happiness decision chaperone trip son school
i know are feeling alone,sadness,know feel alone
i feel aching all over my body,sadness,feel ache body
i still get excellent feedback from unlikely people friends of my parents team mates co workers and the support really makes me feel like im doing something worthwhile,joy,still get excellent feedback unlikely people friend parent team mate worker support really make feel like something worthwhile
i will make you feel amazing tonight i need you no,surprise,make feel amazing tonight need
i will give proper praise to the amish for being punctual but feel that i should point out that they have never had to finish a game or tv show before they rushed out the door,anger,give proper praise amish punctual feel point never finish game show rush door
i think i was addicted to feeling miserable and inadequate especially through the times in college when my teachers drove me to my own breaking point,sadness,think addict feel miserable inadequate especially time college teacher drive breaking point
i feel about it has me shocked,surprise,feel shock
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,wish girl ask prom accept invitation way could heartbroken do feeling indecisive
id never seen before because i had a feeling it would be way too violent for me and guess what i was right great acting impressive directing not a movie i ever want to see again some distractions were welcome,anger,never see feeling would way violent guess right great act impressive directing not_a movie ever want see distraction welcome
i feel angry alone unwanted vexed irritable all the time,anger,feel angry alone unwanted vex irritable time
i feel hateful of everything suddenly,anger,feel hateful everything suddenly
i feel humiliated said mohammed hussein a year old factory worker,sadness,feel humiliated say mohammed hussein year old factory worker
i thought maybe i can get through this but now today and i am up crying already and feeling incredibly depressed,sadness,think maybe get today cry already feel incredibly depressed
i feel a cold coming on or drink a little extra xango juice when i am stiff and sore,anger,feel cold come drink little extra xango juice stiff sore
i just read this on yahoo and thought it verrrrrrrryyyy interesting n n n n red may be the color of love for a reason it makes men feel more amorous ntoward,love,read yahoo think verryy interesting red may color love reason make man feel amorous ntoward
i often feel dull and empty inside like i m nothing more than a studying machine and yeah i do give myself breaks,sadness,often feel dull empty inside like nothing study machine yeah give break
i feel like i have an uncomfortable limit,fear,feel like uncomfortable limit
i dissect every new fact that comes to surface i feel more disheartened,sadness,dissect every new fact come surface feel disheartened
i feel popular special and important,joy,feel popular special important
i really want this challenge to be a fun way for everyone to knock a few games off our backlogs without feeling pressured to reach any certain goals,fear,really want challenge fun way everyone knock game backlog without feel pressured reach certain goal
i feel defective because i can t,sadness,feel defective
i feel comfortable running two miles i shouldnt have a problem running,joy,feel comfortable run two mile not_have problem run
i am feeling grumpy i put this on,anger,feel grumpy put
im very very very very sorry i havent been feeling very well,joy,sorry not_been feel well
im feeling romantic lately so i decided to go with this nail design,love,feel romantic lately decide nail design
i was exceptionally hurt by it and i m definitely still feeling the impact when it comes to trusting people,joy,exceptionally hurt definitely still feel impact come trust people
i feel so honored to have lindo guest starring on this post,joy,feel honored lindo guest star post
i feel like the one who is being blamed and the one who would get upset if problems arose in the future,sadness,feel like one blame one would get upset problem arise future
i feel really terrific so far,joy,feel really terrific far
i feel completely shaken up,fear,feel completely shake
i feel lethargic and crave junk food and pop,sadness,feel lethargic crave junk food pop
i always jumble words and letters and i feel like the inhalers i took back in college are the culprit for my brain being permanently damaged,sadness,always jumble word letter feel like inhaler take back college culprit brain permanently damage
im temporarily wounded feeling like an idiot and have already missed yoga because of the fall,sadness,temporarily wound feeling like idiot already miss yoga fall
i told justin a couple days ago that im feeling better physically than i have in a while,joy,tell justin couple day ago feel well physically
i like about this song is how it feels bouncy and matches tiggers bouncy personality,joy,like song feel bouncy match tigger bouncy personality
i feel been accepted and although sip compliant voip services may be used as part of an institution s telephony infrastructure on the desktop and indeed on mobile phones skype probably is the safe mainstream option,joy,feel accept although sip compliant voip service may use part institution telephony infrastructure desktop indeed mobile phone skype probably safe mainstream option
i would very much like to come back here at a quieter time perhaps or if im feeling a bit brave then maybe during the night,joy,would much like come back quieter time perhaps feel bit brave maybe night
i don t feel any safe,joy,feel safe
i found myself feeling inhibited and shushing her quite a lot,fear,find feel inhibited shush quite lot
i feel embarrassed that im doing it because i think people like me insert liberal amount of negative self talk about weight dont do things like this,sadness,feel embarrassed think people like insert liberal amount negative self talk weight not_do thing like
i was able to be myself and not feel pressured to talk in a group so it was in a way better than all the years in secondary school,fear,able not_feel pressured talk group way well year secondary school
i did take a surprise two hour nap this afternoon though and woke up feeling not as exhausted as i did this morning so maybe thats a good sign,sadness,take surprise two hour nap afternoon though wake feel not_as exhausted morning maybe good sign
i am trying really hard because i really want to feel faithful and close to him,love,try really hard really want feel faithful close
i only feel irritated by it,anger,feel irritated
i can feel superior on that point,joy,feel superior point
i said that dancing makes me feel vaguely elegant,joy,say dancing make feel vaguely elegant
i get what shes saying but on another i feel pissed that she has to have a thick skin to put up with the crap women heap on each other,anger,get say another feel pissed thick skin put crap woman heap
i am on the write track i feel contented and at peace,joy,write track feel contented peace
i didn t want to tell him because arun has these single line solutions to all my problems that leave me feeling extremely dissatisfied,anger,want tell arun single line solution problem leave feel extremely dissatisfied
i feel like god pooped on me laughed amp then walked away throwing a casual yeah,joy,feel like god poope laugh amp walk away throw casual yeah
im moved in ive been feeling kind of gloomy,sadness,move feel kind gloomy
i feel terribly burdened to have to deal with the results of it lol,sadness,feel terribly burden deal result lol
i ended up feelin shitty in mind,sadness,end feelin shitty mind
i just posted when i reached to someones facebook that i used to think as one of my best friends which makes me feel so shocked and frustrated,surprise,post reach someone facebook use think one good friend make feel shocked frustrate
i have written i don t know why this would make me feel shy,fear,write know would make feel shy
i am not amazing or great at photography but i feel passionate about it,love,not_amazing great photography feel passionate
i think about it how harmless that insect is i feel pathetic to be so overpowered by fear,sadness,think harmless insect feel pathetic overpowered fear
i just feel complacent and not at all like bothering,joy,feel complacent not_at like bother
i feel like hes trying to be the one to comfort me and help me get over yash which is sooo sweet of him but at the same time it makes me love yash more because he cant compare to yash i feel like i cant trust fateh,love,feel like try one comfort help get yash soo sweet time make love yash not_compare yash feel like not_trust fateh
i remember last summer feeling so overwhelmed,surprise,remember last summer feel overwhelmed
i drink into my feelings get numb,sadness,drink feeling get numb
i have to have it done but i feel terrified of another intrusion to my body,fear,do feel terrified another intrusion body
i am feeling very valued today,joy,feel value today
i know it seems very sudden to everyone but i am not sure how much i can communicate just how comfortable i feel with him how similarly we look at the world and how supportive and loving he has been towards me,love,know seem sudden everyone not_sure much communicate comfortable feel similarly look world supportive loving towards
i am starting to feel the strain of not having enough time i did however make up some lost time with a vengeance yesterday and today and got s of the giant granny panties quilted,sadness,start feel strain not_having enough time however make lose time vengeance yesterday today get giant granny panty quilt
i don t feel resentful i feel guilty,anger,feel resentful feel guilty
i feel like a whiney lil girl who s keeps whining and psycho ing herself to love studying and start studying,sadness,feel like whiney lil girl keep whine psycho e love study start study
i miss our talks our cuddling our kissing and the feelings that you can only share with your beloved,joy,miss talk cuddle kissing feeling share beloved
i feel very low already,sadness,feel low already
im more scared of like dramas or thrillers that are actually capable of happening and so leave me feeling disturbed i,sadness,scared like drama thriller actually capable happen leave feel disturbed
i did feel a connection between the two of them i wasn t convinced they d made it to the love stage yet,joy,feel connection two convince make love stage yet
i am feeling a little nervous and anxious but never second guessing my decision,fear,feel little nervous anxious never second guess decision
i would experience this a number of times later in life but this was my first experience with an icky racism that prevails in all cultures and skin colors around the world it made me feel dirty,sadness,would experience number time later life first experience icky racism prevail culture skin color around world make feel dirty
im not sure why today i feel so horrible,sadness,not_sure today feel horrible
i didnt feel so hot,love,not_feel hot
i want to keep feeling strong yet i cant neglect that feeling inside me a feeling of betrayal somehow,joy,want keep feel strong yet not_neglect feeling inside feeling betrayal somehow
i am sure that if another group came along that made her feel less like pluto and more like the sun that she would shift her own focus to where her input was valued,joy,sure another group come along make feel less like pluto like sun would shift focus input value
i feel assured saying the world could have one heck of a pacesetter on their hands,joy,feel assured say world could one heck pacesetter hand
i am able to replace fear of people with love for them i feel so much more confident safe happy dare i say invincible,joy,able replace fear people love feel much confident safe happy dare say invincible
i dont want to rely on a guy to pay my bills but at the same time i am a free spirit and i feel like im being punished for being a free spirit,sadness,not_want rely guy pay bill time free spirit feel like punish free spirit
i got a good feeling from the school and i have a lovely class,love,get good feeling school lovely class
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,feel reluctant blog free period even plug laptop charge make easy upload photo online
i couldnt be entirely satisfied because i longed for a companion i could feel entirely devoted to as i am now,love,not_be entirely satisfied long companion could feel entirely devoted
ive learned an important thing i binge eat to cope with what i cannot control feelings and emotional reactions to situations outside of my control,sadness,learn important thing binge eat cope control feeling emotional reaction situation outside control
i get the feeling that my supervising teacher is overwhelmed and may have too many students,fear,get feeling supervise teacher overwhelmed may many student
ive been feeling very lethargic with the fact that i worked till plus on days that i need to pay back the hours for my lessons days and sleeping at plus every night ever since the beginning of this week,sadness,feel lethargic fact work till plus day need pay back hour lesson day sleep plus every night ever since beginning week
i get to this store and feeling almost defeated i tell my mom it would be so crazy if they didnt have a printing service,sadness,get store feel almost defeat tell mom would crazy not_have printing service
i feel as much disturbed as much a fool as as that dealer in love philters paaker,sadness,feel much disturb much fool dealer love philter paaker
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,never read post never would spend emotional mental energy argue head feel irritated
i feel certifiably idiotic right now,sadness,feel certifiably idiotic right
i joke about her leaving me or tell her that i know shes going to fall in love with the city the country the people and never come back theres a place deep in my mind parallel to the empty sick feeling in my stomach that is terrified she really wont come back,fear,joke leave tell know go fall love city country people never come back place deep mind parallel empty sick feeling stomach terrify really not_come back
i was bursting to feel the inside of this delicious woman s cunt,joy,burst feel inside delicious woman cunt
i have a sick feeling that our hour bus adventure will be in vain,sadness,sick feeling hour bus adventure vain
i have also known the pain of feeling worthless too broken too scarred to ever span style mso bidi font size,sadness,also know pain feel worthless broken scarred ever span style mso bidi font size
i just take what i feel like would taste delicious and start off,joy,take feel like would taste delicious start
i feel it is important to support young people in their creative endeavors,joy,feel important support young people creative endeavor
i didnt feel like i missed out one bit,sadness,not_feel like miss one bit
i send good energy and light into the universe it feels good,joy,send good energy light universe feel good
i was washing the trees hoping it would do some good and concurrently in the general trajectory of my life feeling more and more suspicious of much of the trappings of christianity and even sometimes maybe just kinda or a lot suspicious of its heart and in my head is this song,fear,wash tree hop would good concurrently general trajectory life feel suspicious much trapping christianity even sometimes maybe kinda lot suspicious heart head song
i feel homesick i read this collection of stories,sadness,feel homesick read collection story
im sharing our school room because im sure im not the only one that struggles or has struggled with school room jealousy of feeling less than perfect,joy,share school room sure not_the one struggle struggle school room jealousy feel less perfect
i feel so disappointed,sadness,feel disappointed
i feel like especially in the art world we could all do with a little more reality and little less you fill in the blank,sadness,feel like especially art world could little reality little less fill blank
ill admit to feeling very nostalgic when i see photos of my sweet little girl in halloween costumes i made for her and i dream of the day that ill be called upon to fashion a small costume for a grandchild,love,ill admit feel nostalgic see photo sweet little girl halloween costume make dream day ill call upon fashion small costume grandchild
i feel rubbish today having a bad cold and cough really isn t ideal and the thought of attempting to leave the sofa fil,sadness,feel rubbish today bad cold cough really ideal thought attempt leave sofa fil
i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,joy,feel honoured evoke much emotion would drive put much effort
i feel like nobody is giving me a chance to explain and accept that i am never going to be happy doing what they expect me to do,joy,feel like nobody give chance explain accept never go happy expect
i have to say i feel slightly envious of julian,anger,say feel slightly envious julian
i would go up to my bedroom feeling depressed,sadness,would bedroom feel depressed
i feel like oh please why im so fake again but the spazzing thingy about gikwang is not fake,sadness,feel like please fake spazzing thingy gikwang not_fake
i havent hopped on one yet but i definitely will and speaking of cardio exercise i was feeling all kinds of superior after a href http emilyhursh,joy,not_hoppe one yet definitely speak cardio exercise feel kind superior href http emilyhursh
i don t know why that surprises me because whenever i get exercise whether it s working out in my garden or going to the gym i feel terrific afterward which is naturally the reason i don t do it all the time,joy,know surprise whenever get exercise whether work garden go gym feel terrific afterward naturally reason time
i feel so nervous anxious and i dont know why,fear,feel nervous anxious not_know
i feel emotional about how people have treated me over the last few months and years,sadness,feel emotional people treat last month year
i feel thats a valuable piece of consumer knowledge and one item of many ive added to my good to know stores,joy,feel valuable piece consumer knowledge one item many add good know store
i continue to explore these sites i feel like they would be more useful in an industry which requires to maintain contact,joy,continue explore site feel like would useful industry require maintain contact
i thought i would challenge myself i really wanted to capture a realistic view of the animal whilst also showing of my own unique painting style i feel this was successful yet next time i would go larger,joy,think would challenge really want capture realistic view animal whilst also show unique painting style feel successful yet next time would large
i am feeling a little weird as i compare this big old number with how young insecure childlike playful silly i feel inside,fear,feel little weird compare big old number young insecure childlike playful silly feel inside
i would be feeling guilty of writing craps on my blog nothing useful nor beneficial to others,sadness,would feel guilty write crap blog nothing useful beneficial other
i feel your pain whether you want me to or not and its pity implies that for some unfortunate people justice is not enough,sadness,feel pain whether want not_and pity imply unfortunate people justice not_enough
i feel horrible rel bookmark permalink,sadness,feel horrible rel bookmark permalink
i wake up hobble over to the computer or turn over and grab the phone from the night stand and start checking emails blogs facebook random internet clicking writing a few posts and before i know it its nearly noon and i feel no more productive than i did three hours earlier,joy,wake hobble computer turn grab phone night stand start check email blog facebook random internet clicking write post know nearly noon feel productive three hour early
i decided to focus on how i was feeling and what needs were not being met for me in this situation rest calm enjoyment relaxation,joy,decide focus feel need not_being meet situation rest calm enjoyment relaxation
i reply feeling suspicious,fear,reply feel suspicious
i was feeling awful friends before i left for my dads,sadness,feel awful friend leave dad
i found some four ply tweedy yarn from rowan that i thought would be just the right thing for that flying fans shawl i started but didnt feel was very successful in the yarn that i had a href http,joy,find four ply tweedy yarn rowan think would right thing fly fan shawl start not_feel successful yarn href http
im feeling more vulnerable writing about this than i do writing about my melt downs mishaps and toddler challenges,fear,feel vulnerable writing write melt down mishap toddler challenge
im exhausted in excruciating pain and feeling extremely hostile,anger,exhausted excruciating pain feel extremely hostile
i feel an important experience for short term mission groups,joy,feel important experience short term mission group
i feel proud now,joy,feel proud
i could set all these discouraging feelings free,joy,could set discourage feeling free
i love you all d pagetitle superman mereka penyeri my life without them i feel like blank sheet of paper,sadness,love pagetitle superman mereka penyeri life without feel like blank sheet paper
i feel amazed to say that i am doing what i only dreamed of doing again,surprise,feel amazed say dream
i feel very bitter that i am supposed to be providing this privileged space to someone else and i dont get it,anger,feel bitter suppose provide privileged space someone else not_get
im feeling really thankful for everything ive been blessed with in my life right now i wont be eating any turkey no tofurkey either yes thats a real thing,joy,feel really thankful everything bless life right not_be eat turkey tofurkey either yes real thing
i feel so relieved about what i had been through i can sense a big transparence burden was lifted and thrown into a deep cliff,joy,feel relieved sense big transparence burden lift throw deep cliff
im stupid and make me feel like im worthless,sadness,stupid make feel like worthless
i am mostly feeling contentedly terrified about it all,fear,mostly feel contentedly terrified
i stand you come across as a complete stranger to me but i feel compassionate about you,love,stand come across complete stranger feel compassionate
i feel nevertheless not convinced which g is the be all and end all which sprint is creating it away to be,joy,feel nevertheless not_convince end sprint create away
i can remember feeling petrified,fear,remember feel petrified
i was able to feel everything and exactly where my sweet boy was in the birth canal,joy,able feel everything exactly sweet boy birth canal
i left feeling quite dissatisfied with the whole thing specifically that she dictated to me that i should be on meds and did not discuss with me why she thought this was necessary nor what other lifestyle options there might be to reduce my risks etc,anger,leave feel quite dissatisfied whole thing specifically dictate med not_discuss think necessary lifestyle option might reduce risk etc
im thinking about death at the moment and feeling really sad because my lovely uncle shaun has died,sadness,think death moment feel really sad lovely uncle shaun die
im wrestling with the inclination to not go to school today but after reading jamies status on facebook now i feel shamed into going,sadness,wrestle inclination not_go school today read jamie status facebook feel sham go
i thought made the room feel playful and kid friendly,joy,think make room feel playful kid friendly
i wear makeup not only to reflect how beautiful i truly feel on in the inside but also to break the stereotype of the nerdy timid out of the loop woman in the sciences,fear,wear makeup not_only reflect beautiful truly feel inside also break stereotype nerdy timid loop woman science
i feel very distressed because i m supportive of this campaign and with the senator,fear,feel distressed supportive campaign senator
i was feeling resentful and daydreaming about the various places i could tell him to shove those big girl panties,anger,feel resentful daydream various place could tell shove big girl panty
i feel ungrateful for being unhappy but i cant seem to move on properly,sadness,feel ungrateful unhappy not_seem move properly
i feel the self pressured expectation to keep up to date with our family events so in order to assuage the guilt here we go,fear,feel self pressured expectation keep date family event order assuage guilt
i guess yelp wouldnt be a useful website if people only wrote positive reviews so i feel kind of lame about it,sadness,guess yelp not_be useful website people write positive review feel kind lame
i guess i do feel the need to mention the realism of the just how tragic the hardship of everyday life in the mumbai slums really is,sadness,guess feel need mention realism tragic hardship everyday life mumbai slum really
i drafted this post at least a month ago and now i m feeling quite uncertain about it,fear,draft post least month ago feel quite uncertain
every time i meet a certain dog that has once bitten me,fear,every time meet certain dog bite
i gotta say that i feel like i was suckered into buying the iphone s because i saw the ads on how cool siri was,joy,get say feel like suckere buy iphone see ad cool siri
i hadnt anticipated happening quite so quickly in this new international life was feeling passionate about honduras,love,not_anticipate happen quite quickly new international life feel passionate hondura
id be less than honest on this blog if i didnt report that im feeling very petty right now,anger,less honest blog not_report feel petty right
my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,fear,mother not_come home till late night age ago anyway not_know parent back start think perhaps accident perhaps dead
i feel like watching equilibrium or something equally delicious and playing the sims and generally being lazy,joy,feel like watch equilibrium something equally delicious play sim generally lazy
im feeling are happiness wholeness and excited anticipation sometimes im reduced to tears and can barely begin to put my feelings into words,joy,feel happiness wholeness excited anticipation sometimes reduce tear barely begin put feeling word
ive been feeling weird because i am weird,fear,feel weird weird
i usually wash my hair every other day and after a few uses my hair is now feeling lovely soft and conditioned again,love,usually wash hair every day use hair feel lovely soft condition
i understand why bernie wants a guaranteed spot on the team because he feels that he should get the respect that he deserves after being loyal and staying on this team for so long,love,understand bernie want guarantee spot team feel get respect deserve loyal stay team long
i cant continue to be the whipping post for someone who feels lousy about themselves,sadness,not_continue whip post someone feel lousy
i have the feeling in my mind that a person gets when they have resolved something and they can be at ease,joy,feeling mind person get resolve something ease
i do when i m feeling a bit weird to reground myself,surprise,feel bit weird reground
i found myself feeling more satisfied after eating smaller nutrient dense meals than i would after eating a huge portion of spaghetti and meatballs with italian bread and butter one of my favorite meals previously,joy,find feel satisfied eat small nutrient dense meal would eat huge portion spaghetti meatball italian bread butter one favorite meal previously
i know its not always as great an experience as ive set out here but if youre feeling a bit jaded and would like to remind yourself of what it was about teaching that attracted you in the first place you might like to give it a thought,sadness,know not_always great experience set feel bit jaded would like remind teaching attract first place might like give thought
i am feeling very pissed now,anger,feel pissed
i feel like we barely know each other and time just isnt being generous with our love,love,feel like barely know time not_bee generous love
i must say that im not feeling gloomy at all about this place,sadness,must say not_feele gloomy place
i feel quite sure our paths will cross again,joy,feel quite sure path cross
im such a workaholic its because i feel productive and im doing something that i like something that makes me work,joy,workaholic feel productive something like something make work
i ended up feeling pretty terrific about myself yesterday,joy,end feel pretty terrific yesterday
i am feeling quite smug now as i didn t actually see any mating but assessed the signs calculated the dates etc and got it spot on,joy,feel quite smug actually see mating assess sign calculate date etc get spot
i think of that image i feel calm amp safe a href http revealthestaryoutrulyare,joy,think image feel calm amp safe href http revealthestaryoutrulyare
i have been feeling for quite a while that i am just not satisfied with my stash when it comes to blushes,joy,feel quite not_satisfied stash come blushes
i feel that the project went smoothly and successful however i did hit a few obstacles such as issues with my memory stick corrupting however i soon managed to resolve that through back up,joy,feel project go smoothly successful however hit obstacle issue memory stick corrupting however soon manage resolve back
i get a funny feeling he does not consider you worthless,sadness,get funny feeling not_consider worthless
i do need constant reminders when i go through lulls in feeling submissive whether i like them or not,sadness,need constant reminder lull feel submissive whether like
i feel like being distracted,anger,feel like distract
i feel lousy and im very anxious about my presentation today,sadness,feel lousy anxious presentation today
i appreciate not having to do it but it feels so strange to be sitting around not packing when a move is so close,fear,appreciate not_having feel strange sit around not_packing move close
i feel disgusted just looking at that number,anger,feel disgusted look number
im feeling morose as i tend to do when im awake and writing here at almost am,sadness,feel morose tend awake write almost
i help a lot of people at a later time when i m feeling pissed off with things i might look back at my life and say hey i m not that bad a person,anger,help lot people later time feel piss thing might look back life say hey not_that bad person
im feeling amorous tonight never again,love,feel amorous tonight never
i feel agitated i become easily overwhelmed,fear,feel agitated become easily overwhelmed
i feel quite privileged because myself and the other foreigners live in a complex known to all as the foreign experts building i dont think im really an expert at anything but if thats how theyd like to call it im fine with it haha,joy,feel quite privileged foreigner live complex know foreign expert build not_think really expert anything like call fine haha
i spent two weeks in zombie mode then two weeks feeling all my feelings again after being numb for so long,sadness,spend two week zombie mode two week feel feeling numb long
i know how vital daily practice is in my souls development and i can feel the energetic thunk when i drink in the charged water from my kala glass,joy,know vital daily practice soul development feel energetic thunk drink charge water kala glass
i feel stupid and thoughtless,sadness,feel stupid thoughtless
i feel that language is nothing at all cheer up remain my faithful only darling my everything as i for you the rest is up to the gods what must be for us and what is in store for us,love,feel language nothing cheer remain faithful darle everything rest god must store
i left with a great feeling of encouragement and rich for having walked alongside africans,joy,leave great feeling encouragement rich walk alongside african
i am happy with the news comeback i am feeling agitated with some fangirls,anger,happy news comeback feel agitated fangirl
i didnt really feel sympathetic for him they way i did for the other nominees,love,not_really feel sympathetic way nominee
i think honestly i did feel a bit vulnerable,fear,think honestly feel bit vulnerable
i feel about myself is so fucked up,anger,feel fuck
i feel as fantastic as a beauty and beast moment would have been i did not go through any magical dramatically lit transformations as i exited the first trimester and emerged in the second,joy,feel fantastic beauty beast moment would not_go magical dramatically light transformation exit first trimester emerge second
i should somehow feel hesitant about that,fear,somehow feel hesitant
ive been thinking about that this morning and realizing that my ordinary life is starting to feel dull,sadness,think morning realize ordinary life start feel dull
i don t understand it because this show is as expensive as any show that s ever been done by anyone i should think and we re making a profit um so you don t need to feel over sympathetic towards us,love,understand show expensive show ever do anyone think make profit need feel sympathetic towards
i found myself feeling very sorry for quell as dodd deceives him for his own personal benefit,sadness,find feel sorry quell dodd deceive personal benefit
i do not feel as ugly,sadness,not_feel ugly
i cant help but feel somewhat heartbroken by this news,sadness,not_help feel somewhat heartbroken news
i have analyzed and overanalyzed my aversion to this suggestion and in the end have accepted my gut feeling this was not an acceptable solution for alex at that time and place,joy,analyze overanalyze aversion suggestion end accept gut feeling not_an acceptable solution alex time place
im feeling defeated,sadness,feel defeat
i feel like i should have something more intelligent to say about this but that s all i ve got right now,joy,feel like something intelligent say get right
im living alone while waiting for my license test and english speaking test im feeling more relaxed hibernating without any fresh air,joy,live alone wait license test english speaking test feel relaxed hibernating without fresh air
i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,anger,feel like really grouchy day get mood feel like world
i feel it isnt enough times i dont feel respected or special or that this relationship is good for me,joy,feel not_enough time not_feel respected special relationship good
i understand that every memory is something precious and that i should cherish it but at the moment i feel disgusted at how i had become during that time of my life,anger,understand every memory something precious cherish moment feel disgusted become time life
i feel no compunction to be gracious with them,joy,feel compunction gracious
i came out freaked on the brink of tears feeling angry confused ridiculous small,anger,come freak brink tear feel angry confused ridiculous small
i didnt feel inhibited in my own journal and to tell me that he isnt going to read any more of it,sadness,not_feel inhibited journal tell not_goe read
i am feeling highly frustrated because i had worked a long day and just wanted to get home and take a shower and eat my snacks and listen to some music,anger,feel highly frustrated work long day want get home take shower eat snack listen music
i believe in you moment we all feel til then it s one more skeptical song,fear,believe moment feel til one skeptical song
i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me,surprise,remember feel shocked somewhat embarrassed adf unity rite consecrate much
i never feel satisfied or satiated like i used to when we were dining out,joy,never feel satisfied satiate like use din
i feel pleasant staying away from the former,joy,feel pleasant stay away former
i hate missing practice because i feel like the reps in practice are vital to your performance on sunday,joy,hate miss practice feel like rep practice vital performance sunday
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger,patient expect get well suddenly pass away show meal
i have an awesome husband i got to lay in bed for two days straight which i think is directly linked to the fact that im already feeling much better,joy,awesome husband get lay bed two day straight think directly link fact already feel much well
i do feel confident that ill be able to compete on price my product is some of the most affordable on etsy but what if people would rather pay more for pompoms and multi colored braided ear flaps,joy,feel confident ill able compete price product affordable etsy people would rather pay pompom multi color braided ear flap
i would have wasted time and money and i just feel really pressured because i dont want to do that,fear,would waste time money feel really pressure not_want
i see lyman i just feel more and more amazed about us,surprise,see lyman feel amazed
im sure ill get through it im just feeling whiney today,sadness,sure ill get feel whiney today
i do actually feel frightened having seen what my mother went through in her treatment for a malignant melonoma,fear,actually feel frightened see mother go treatment malignant melonoma
i often feel that they are not an extremely clever and talented people,joy,often feel not_an extremely clever talented people
im feeling a need to revisit my artistic influences,joy,feel need revisit artistic influence
i have a bad feeling that i am going to get very aggravated again tomorrow,anger,bad feeling go get aggravated tomorrow
i got caught shoplifting a package of gummy bears,fear,get catch shoplift package gummy bear
i feel like that s because i didn t grow up in cliques at school like in movies there s the popular girl,joy,feel like grow clique school like movie popular girl
i want all of my feelings rage and terror and longing to wash over me and fill me as the alternative is the dull anxiety of every day living,love,want feeling rage terror longing wash fill alternative dull anxiety every day live
i feel empty inside all the time,sadness,feel empty inside time
i should instead develop warm and friendly feelings towards everyone i meet thereby allowing my mind to develop virtuous attitudes,joy,instead develop warm friendly feeling towards everyone meet thereby allow mind develop virtuous attitude
i was feeling so indecisive and blah,fear,feel indecisive blah
i actually feel pretty good,joy,actually feel pretty good
i mean architectural wonders just make you feel wowed impressed and you just end up really respecting the people who built them but nature just makes you feel so much more aware of the world around you without actually actively doing anything because they were always there you know,surprise,mean architectural wonder make feel wowed impressed end really respect people build nature make feel much aware world around without actually actively anything always know
i feel sure the majority would go for ios on a galaxy sii or a lumia,joy,feel sure majority would io galaxy sii lumia
i feel neglectful that i have to skip over all the entries from this community and that i dont have the time to be as religious as i had been,sadness,feel neglectful skip entry community not_have time religious
i feel we would be a far better species,joy,feel would far well specie
